GPSTime, DeviceTime, Longitude,Latitude,GPSSpeed(Meters/second),HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),GPSAltitude(m)
Tue May 28 08:37:31 GMT+02:00 2019,37:30.4,11.16523111,43.41123998,20.73,7.504,259.9815674,126.3,7.1686554,-11.708542,5.2833557,0.5364179,2314.75,35.68627548,74,16.47058868,22.39083481,259.9815674
Tue May 28 08:37:31 GMT+02:00 2019,37:30.5,11.16523111,43.41123998,20.73,7.504,259.9815674,126.3,-0.016342163,3.070877,21.511261,0.47275358,2314.75,35.68627548,74,16.47058868,22.39083481,259.9815674
Tue May 28 08:37:31 GMT+02:00 2019,37:30.6,11.16523111,43.41123998,20.73,7.504,259.9815674,126.3,-1.0769806,-1.5619049,8.589752,-0.08428478,2314.75,35.68627548,74,16.47058868,22.39083481,259.9815674
Tue May 28 08:37:31 GMT+02:00 2019,37:30.7,11.16523111,43.41123998,20.73,7.504,259.9815674,126.3,2.9021912,1.0405884,10.177109,0.102982104,2301.25,35.68627548,74,16.47058868,22.39083481,259.9815674
Tue May 28 08:37:31 GMT+02:00 2019,37:30.8,11.16523111,43.41123998,20.73,7.504,259.9815674,126.3,0.031539917,-2.0766602,9.188309,0.14104909,2301.25,35.68627548,74,16.47058868,22.39083481,259.9815674
Tue May 28 08:37:31 GMT+02:00 2019,37:30.9,11.16523111,43.41123998,20.73,7.504,259.9815674,126.3,0.8479614,0.09487915,5.5036316,0.07393374,2301.25,35.68627548,73,16.47058868,22.39083481,259.9815674
Tue May 28 08:37:31 GMT+02:00 2019,37:31.0,11.16523111,43.41123998,20.73,7.504,259.9815674,126.3,1.0466766,-0.5826874,10.327942,0.078855574,2301.25,35.68627548,73,16.47058868,22.39083481,259.9815674
Tue May 28 08:37:32 GMT+02:00 2019,37:31.1,11.16546439,43.41112635,21.05,6.432,259.2766113,123.7,-0.8710785,-0.02722168,10.782837,0.12175208,2301.25,35.68627548,73,16.47058868,22.39083481,259.2766113
Tue May 28 08:37:32 GMT+02:00 2019,37:31.2,11.16546439,43.41112635,21.05,6.432,259.2766113,123.7,0.48643494,-0.7550659,10.193863,0.03656396,2301.25,27.05882454,73,16.47058868,22.39083481,259.2766113
Tue May 28 08:37:32 GMT+02:00 2019,37:31.3,11.16546439,43.41112635,21.05,6.432,259.2766113,123.7,-0.82318115,0.884964,9.738968,0.025708642,2301.25,27.05882454,73,16.47058868,22.39083481,259.2766113
Tue May 28 08:37:32 GMT+02:00 2019,37:31.4,11.16546439,43.41112635,21.05,6.432,259.2766113,123.7,1.3627167,0.03262329,9.4205475,-0.010698915,2301.25,27.05882454,73,16.47058868,22.39083481,259.2766113
Tue May 28 08:37:32 GMT+02:00 2019,37:31.5,11.16546439,43.41112635,21.05,6.432,259.2766113,123.7,-1.3283691,-0.4557953,9.612076,-0.029248483,2301.25,27.05882454,73,16.47058868,22.39083481,259.2766113
Tue May 28 08:37:32 GMT+02:00 2019,37:31.6,11.16546439,43.41112635,21.05,6.432,259.2766113,123.7,-1.0458527,-1.8420258,9.935287,-0.015267174,2301.25,27.05882454,73,16.47058868,22.39083481,259.2766113
Tue May 28 08:37:32 GMT+02:00 2019,37:31.7,11.16546439,43.41112635,21.05,6.432,259.2766113,123.7,-0.016342163,-0.09906006,10.04303,-0.005260477,2301.25,27.05882454,73,16.07843208,22.39083481,259.2766113
Tue May 28 08:37:32 GMT+02:00 2019,37:31.8,11.16546439,43.41112635,21.05,6.432,259.2766113,123.7,-0.28927612,-0.6952057,9.161972,-0.043909073,2301.25,27.05882454,73,16.07843208,22.39083481,259.2766113
Tue May 28 08:37:32 GMT+02:00 2019,37:31.9,11.16546439,43.41112635,21.05,6.432,259.2766113,123.7,-1.3810425,-1.2171478,10.375824,0.025112605,2301.25,27.05882454,73,16.07843208,22.39083481,259.2766113
Tue May 28 08:37:32 GMT+02:00 2019,37:32.0,11.16546439,43.41112635,21.05,6.432,259.2766113,123.7,-0.5981293,-0.80773926,8.616089,0.002625887,2301.25,27.05882454,73,16.07843208,22.39083481,259.2766113
Tue May 28 08:37:33 GMT+02:00 2019,37:32.1,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-1.2445679,-0.70957947,9.456451,-0.006040096,2301.25,27.05882454,73,16.07843208,22.39083481,260.008667
Tue May 28 08:37:33 GMT+02:00 2019,37:32.2,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-1.1009216,-0.6664734,9.94487,0.011452761,2301.25,27.05882454,73,16.07843208,22.39083481,260.008667
Tue May 28 08:37:33 GMT+02:00 2019,37:32.3,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-1.4863892,-0.73831177,10.026276,0.022928646,2301.25,27.05882454,73,16.07843208,22.39083481,260.008667
Tue May 28 08:37:33 GMT+02:00 2019,37:32.4,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-1.2756958,-0.65211487,9.633621,0.017551234,2301.25,27.05882454,73,16.07843208,22.39083481,260.008667
Tue May 28 08:37:33 GMT+02:00 2019,37:32.5,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-0.8782501,-0.42466736,8.984802,-0.059735358,2301.25,27.05882454,73,16.07843208,9.442930222,260.008667
Tue May 28 08:37:33 GMT+02:00 2019,37:32.6,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-0.9907837,-0.5707092,9.008743,-0.031143188,2301.25,27.05882454,73,16.07843208,9.442930222,260.008667
Tue May 28 08:37:33 GMT+02:00 2019,37:32.7,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-1.4648285,-0.37438965,9.104507,-0.0188918,2301.25,27.05882454,73,16.07843208,9.442930222,260.008667
Tue May 28 08:37:33 GMT+02:00 2019,37:32.8,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-1.0219116,-0.41508484,10.394974,0.08457881,2306.25,27.05882454,73,16.07843208,9.442930222,260.008667
Tue May 28 08:37:33 GMT+02:00 2019,37:32.9,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-1.8670654,-0.7933655,10.782837,0.07991207,2306.25,27.05882454,73,16.07843208,9.442930222,260.008667
Tue May 28 08:37:33 GMT+02:00 2019,37:33.0,11.16565671,43.41104977,20.24,6.432,260.008667,122.1,-1.9532471,-0.7047882,9.482788,0.07384331,2306.25,27.05882454,74,16.07843208,9.442930222,260.008667
