GPSTime, DeviceTime, Longitude,Latitude,GPSSpeed(Meters/second),HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),GPSAltitude(m)
Tue May 28 19:02:37 GMT+02:00 2019,02:37.4,11.3384542,43.31347987,0,9.648001,333.0424194,0,0.2278595,5.2759247,8.233017,0.003043777,1120.5,28.62745094,0,9.411765099,0,333.0424194
Tue May 28 19:02:37 GMT+02:00 2019,02:37.5,11.3384542,43.31347987,0,9.648001,333.0424194,0,0.40982056,5.292694,8.101334,0.002558486,1120.5,28.62745094,0,9.411765099,0,333.0424194
Tue May 28 19:02:37 GMT+02:00 2019,02:37.6,11.3384542,43.31347987,0,9.648001,333.0424194,0,0.33081055,5.3501434,8.211472,0.003801455,1120.5,28.62745094,0,9.411765099,0,333.0424194
Tue May 28 19:02:37 GMT+02:00 2019,02:37.7,11.3384542,43.31347987,0,9.648001,333.0424194,0,0.36193848,5.2663574,8.197098,1.93E-04,1134.5,28.62745094,0,9.411765099,0,333.0424194
Tue May 28 19:02:37 GMT+02:00 2019,02:37.8,11.3384542,43.31347987,0,9.648001,333.0424194,0,0.29490662,5.316635,8.14682,0.002421727,1134.5,28.62745094,0,9.411765099,0,333.0424194
Tue May 28 19:02:38 GMT+02:00 2019,02:37.9,11.33845339,43.31347936,0,10.72,333.2104492,0,0.292511,5.352539,8.244995,0.002689664,1134.5,28.62745094,0,9.411765099,0,333.2104492
Tue May 28 19:02:38 GMT+02:00 2019,02:38.0,11.33845339,43.31347936,0,10.72,333.2104492,0,0.34039307,5.2400208,8.125275,-0.007490397,1134.5,28.62745094,0,9.411765099,0,333.2104492
Tue May 28 19:02:38 GMT+02:00 2019,02:38.1,11.33845339,43.31347936,0,10.72,333.2104492,0,0.2853241,5.2831116,8.197098,0.001770596,1134.5,29.41176605,0,9.411765099,0,333.2104492
Tue May 28 19:02:38 GMT+02:00 2019,02:38.2,11.33845339,43.31347936,0,10.72,333.2104492,0,0.22547913,5.352539,8.266541,0.002866432,1134.5,29.41176605,0,9.411765099,0,333.2104492
Tue May 28 19:02:38 GMT+02:00 2019,02:38.3,11.33845339,43.31347936,0,10.72,333.2104492,0,0.32843018,5.3070526,8.237808,0.003586763,1134.5,29.41176605,0,9.411765099,0,333.2104492
Tue May 28 19:02:38 GMT+02:00 2019,02:38.4,11.33845339,43.31347936,0,10.72,333.2104492,0,0.30447388,5.316635,8.189926,0.002158463,1134.5,29.41176605,0,9.411765099,0,333.2104492
Tue May 28 19:02:38 GMT+02:00 2019,02:38.5,11.33845339,43.31347936,0,10.72,333.2104492,0,0.28053284,5.342972,8.165985,0.001712786,1134.5,29.41176605,0,9.411765099,0,333.2104492
