GPSTime, DeviceTime, Longitude,Latitude,GPSSpeed(Meters/second),HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),GPSAltitude(m)
Wed Jun 19 19:55:13 GMT+02:00 2019,55:13.5,11.34134282,43.29542871,0,12.864,278.7376709,0,0.14167786,-0.8244934,9.600113,0.016854197,720.75,26.66666794,0,9.019607544,0,2.48
Wed Jun 19 19:55:13 GMT+02:00 2019,55:13.5,11.34134282,43.29542871,0,12.864,278.7376709,0,0.14167786,-0.8244934,9.600113,0.016854197,720.75,26.66666794,0,9.019607544,0,278.7376709
Wed Jun 19 19:55:13 GMT+02:00 2019,55:13.6,11.34134282,43.29542871,0,12.864,278.7376709,0,0.19914246,-0.9106903,9.844315,0.017908847,720.75,26.66666794,0,9.019607544,0,278.7376709
Wed Jun 19 19:55:14 GMT+02:00 2019,55:13.7,11.34134604,43.29543197,0,11.792,277.6468506,0,0.13209534,-0.81970215,9.686295,0.015587449,723,26.66666794,0,9.019607544,0,277.6468506
Wed Jun 19 19:55:14 GMT+02:00 2019,55:13.8,11.34134604,43.29543197,0,11.792,277.6468506,0,0.08181763,-0.881958,9.619263,0.016066525,723,26.66666794,0,9.019607544,0,277.6468506
Wed Jun 19 19:55:14 GMT+02:00 2019,55:13.9,11.34134604,43.29543197,0,11.792,277.6468506,0,0.15364075,-0.9011078,9.856293,0.017563576,723,26.66666794,0,9.019607544,0,277.6468506
Wed Jun 19 19:55:14 GMT+02:00 2019,55:14.0,11.34134604,43.29543197,0,11.792,277.6468506,0,0.1943512,-0.88435364,9.839523,0.017848011,723,26.66666794,0,9.019607544,0,277.6468506
Wed Jun 19 19:55:14 GMT+02:00 2019,55:14.1,11.34134604,43.29543197,0,11.792,277.6468506,0,0.14407349,-0.81970215,9.724609,0.019496202,723,26.66666794,0,9.019607544,0,277.6468506
Wed Jun 19 19:55:14 GMT+02:00 2019,55:14.2,11.34134604,43.29543197,0,11.792,277.6468506,0,0.07702637,-0.90589905,9.657562,0.016262928,723,26.66666794,0,9.019607544,0,277.6468506
Wed Jun 19 19:55:14 GMT+02:00 2019,55:14.3,11.34134604,43.29543197,0,11.792,277.6468506,0,0.18955994,-0.8795624,9.887405,0.018619379,723,26.66666794,0,9.019607544,0,277.6468506
Wed Jun 19 19:55:14 GMT+02:00 2019,55:14.4,11.34134604,43.29543197,0,11.792,277.6468506,0,0.23504639,-0.881958,9.798828,0.027762055,723,26.66666794,0,9.019607544,0,277.6468506
Wed Jun 19 19:55:14 GMT+02:00 2019,55:14.5,11.34134604,43.29543197,0,11.792,277.6468506,0,0.11294556,-0.802948,9.612076,0.007881224,723,26.66666794,0,9.019607544,0,277.6468506
Wed Jun 19 19:55:14 GMT+02:00 2019,55:14.6,11.34134604,43.29543197,0,11.792,277.6468506,0,0.13209534,-0.81970215,9.70784,0.01809124,723,26.66666794,0,9.019607544,0,277.6468506
Wed Jun 19 19:55:15 GMT+02:00 2019,55:14.7,11.34134755,43.29543349,0,10.72,277.8010254,0,0.23025513,-0.84843445,9.636017,0.018078387,723,26.66666794,0,9.019607544,0,277.8010254
Wed Jun 19 19:55:15 GMT+02:00 2019,55:14.8,11.34134755,43.29543349,0,10.72,277.8010254,0,0.14646912,-0.9322357,9.741364,0.022228718,723,26.66666794,0,9.019607544,0,277.8010254
Wed Jun 19 19:55:15 GMT+02:00 2019,55:14.9,11.34134755,43.29543349,0,10.72,277.8010254,0,0.12490845,-0.86997986,9.758118,0.018517606,723,26.66666794,0,9.019607544,0,277.8010254
Wed Jun 19 19:55:15 GMT+02:00 2019,55:15.0,11.34134755,43.29543349,0,10.72,277.8010254,0,0.21350098,-0.8891449,9.700668,0.017069178,723,26.66666794,0,9.019607544,0,277.8010254
Wed Jun 19 19:55:15 GMT+02:00 2019,55:15.1,11.34134755,43.29543349,0,10.72,277.8010254,0,0.158432,-0.84843445,9.614471,0.013841331,723,26.66666794,0,9.019607544,0,277.8010254
Wed Jun 19 19:55:15 GMT+02:00 2019,55:15.2,11.34134755,43.29543349,0,10.72,277.8010254,0,0.1296997,-0.8388672,9.657562,0.012833118,723,26.66666794,0,9.019607544,0,277.8010254
Wed Jun 19 19:55:15 GMT+02:00 2019,55:15.3,11.34134755,43.29543349,0,10.72,277.8010254,0,0.14167786,-0.8436432,9.791641,0.018407399,778.25,26.66666794,0,9.019607544,0,277.8010254
Wed Jun 19 19:55:15 GMT+02:00 2019,55:15.4,11.34134755,43.29543349,0,10.72,277.8010254,0,0.20870972,-0.9082947,9.722214,0.016657438,778.25,26.66666794,0,9.019607544,0,277.8010254
Wed Jun 19 19:55:15 GMT+02:00 2019,55:15.5,11.34134755,43.29543349,0,10.72,277.8010254,0,0.13449097,-0.8460388,9.640808,0.011202097,778.25,26.66666794,0,9.019607544,0,277.8010254
Wed Jun 19 19:55:15 GMT+02:00 2019,55:15.6,11.34134755,43.29543349,0,10.72,277.8010254,0,0.1368866,-0.83647156,9.576172,0.01880555,778.25,26.66666794,0,9.019607544,0,277.8010254
Wed Jun 19 19:55:16 GMT+02:00 2019,55:15.7,11.34134337,43.2954293,0,10.72,280.9195557,0,0.18237305,-0.8747711,9.633621,0.017326633,778.25,26.66666794,0,9.019607544,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:15.8,11.34134337,43.2954293,0,10.72,280.9195557,0,0.15124512,-0.8747711,9.779678,0.018044557,778.25,25.09803963,0,9.019607544,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:15.9,11.34134337,43.2954293,0,10.72,280.9195557,0,0.16082764,-0.8963165,9.693481,0.017049968,778.25,25.09803963,0,9.019607544,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.0,11.34134337,43.2954293,0,10.72,280.9195557,0,0.14886475,-0.87716675,9.770096,0.017449746,778.25,25.09803963,0,9.019607544,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.1,11.34134337,43.2954293,0,10.72,280.9195557,0,0.1871643,-0.8340759,9.674332,0.017393263,778.25,25.09803963,0,9.019607544,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.2,11.34134337,43.2954293,0,10.72,280.9195557,0,0.20391846,-0.881958,9.566589,0.00412035,778.25,25.09803963,0,9.019607544,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.3,11.34134337,43.2954293,0,10.72,280.9195557,0,0.096191406,-0.77900696,9.822769,0.01587632,778.25,25.09803963,0,13.72549057,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.4,11.34134337,43.2954293,0,10.72,280.9195557,0,0.1081543,-0.74069214,9.806015,0.017434051,778.25,25.09803963,0,13.72549057,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.5,11.34134337,43.2954293,0,10.72,280.9195557,0,0.20152283,-0.8244934,9.700668,0.017189652,778.25,25.09803963,0,13.72549057,0,280.9195557
Wed Jun 19 19:55:16 GMT+02:00 2019,55:16.6,11.34134337,43.2954293,0,10.72,280.9195557,0,0.122528076,-0.69281006,9.592926,0.005075514,778.25,25.09803963,0,13.72549057,0,280.9195557
Wed Jun 19 19:55:17 GMT+02:00 2019,55:16.7,11.3413383,43.295424,0,11.792,282.8929443,0,0.13928223,-0.76942444,9.679108,0.017120374,1241.5,25.09803963,0,13.72549057,0,282.8929443
Wed Jun 19 19:55:17 GMT+02:00 2019,55:16.8,11.3413383,43.295424,0,11.792,282.8929443,0,0.16322327,-0.7933655,9.674332,0.016568474,1241.5,25.09803963,0,13.72549057,0,282.8929443
Wed Jun 19 19:55:17 GMT+02:00 2019,55:16.9,11.3413383,43.295424,0,11.792,282.8929443,0,0.158432,-0.79815674,9.671936,0.01398629,1241.5,25.09803963,0,13.72549057,0,282.8929443
