GPSTime,DeviceTime,Longitude,Latitude,GPSSpeed(Meters/second), HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),MassAirFlowRate(g/s)
Mon Aug 26 13:03:28 GMT+02:00 2019,03:27.5,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,2.5837555,5.1131287,10.08374,0.1221661,3785.75,17.25490189,78,-,-,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:27.6,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,3.0626068,5.0915833,2.587494,0.0668475,3785.75,17.25490189,78,9.411765099,-,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:27.7,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,5.8374786,5.6829376,9.96402,0.33099276,3785.75,17.25490189,78,9.411765099,-,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:27.8,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,2.8471222,9.231155,3.296173,0.05948001,3785.75,17.25490189,78,9.411765099,-,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:27.9,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,6.9507904,9.391556,8.302444,0.19461635,3785.75,17.25490189,78,9.411765099,-,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:28.0,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,3.237381,5.797867,6.1907654,-0.055553854,3785.75,17.25490189,78,9.411765099,-,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:28.1,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,7.060913,3.8920746,9.561798,0.2939548,3785.75,17.25490189,78,9.411765099,-,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:28.2,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,-1.4792023,7.586334,4.201187,-0.08424306,3785.75,17.25490189,78,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:28.3,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,-1.4097748,6.9542694,6.695938,0.08461016,3785.75,17.25490189,78,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:28.4,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,-0.6986847,8.967789,8.307236,0.2671309,3785.75,17.25490189,78,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:28.5,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.7266388,8.47937,8.9943695,0.29129082,3785.75,17.25490189,78,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:28.6,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,-2.0609894,5.129883,7.371109,0.1863434,3785.75,17.25490189,78,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:28.7,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,2.4377136,0.7700348,5.1397095,-0.39584363,3785.75,17.25490189,78,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:28.8,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,5.74411,0.06854248,20.318954,1.1714346,3785.75,17.25490189,78,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:28.9,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,7.0776825,2.2233276,9.595322,0.25536758,3586.75,17.25490189,78,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:29.0,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.2286377,-2.0503235,11.838684,0.21207362,3586.75,17.25490189,78,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:29.1,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,7.578064,-1.6002197,7.912201,0.14765102,3586.75,17.25490189,78,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:29.2,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,9.416809,-8.421295,13.567291,0.9087276,3586.75,17.25490189,74,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:29.3,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,2.2629395,-5.9432983,10.356674,0.21051124,3586.75,17.25490189,74,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:29.4,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,6.407303,-13.425186,16.502594,1.283798,3586.75,17.25490189,74,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:29.5,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,5.8566284,-3.9201965,9.698273,0.24107093,3586.75,38.4313736,74,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:29.6,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,2.423355,-5.5769806,8.431732,0.07869893,3586.75,38.4313736,74,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:29.7,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,2.758545,-4.648041,8.745377,0.28245905,3586.75,38.4313736,74,9.411765099,27.89921951,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:29.8,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.9229584,-4.944916,8.577789,0.047139704,3586.75,38.4313736,74,9.411765099,27.89921951,-
