GPSTime,DeviceTime,Longitude,Latitude,GPSSpeed(Meters/second),HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),MassAirFlowRate(g/s)
Wed Sep 04 12:48:05 GMT+02:00 2019,48:05.8,11.15547807,43.46728652,13.44,7.504,163.0063477,108.5,0.66360474,8.141785,5.508423,0.023332298,2500,20,52,18.03921509,11.69997311,-
Wed Sep 04 12:48:06 GMT+02:00 2019,48:05.9,11.1556633,43.46722563,14.54,7.504,159.960144,113,1.4560852,8.386002,6.6504517,0.06422964,2500,20,52,18.03921509,11.69997311,-
Wed Sep 04 12:48:06 GMT+02:00 2019,48:06.0,11.1556633,43.46722563,14.54,7.504,159.960144,113,3.3977966,2.8865204,7.7326355,0.2081122,2500,20,52,18.03921509,11.69997311,-
Wed Sep 04 12:48:06 GMT+02:00 2019,48:06.1,11.1556633,43.46722563,14.54,7.504,159.960144,113,0.32363892,3.1762085,-1.9686737,-0.5986525,2500,20,52,9.411765099,11.69997311,-
Wed Sep 04 12:48:06 GMT+02:00 2019,48:06.2,11.1556633,43.46722563,14.54,7.504,159.960144,113,-3.1958466,5.8002625,-4.0468445,-0.18986648,2500,20,52,9.411765099,11.69997311,-
Wed Sep 04 12:48:06 GMT+02:00 2019,48:06.3,11.1556633,43.46722563,14.54,7.504,159.960144,113,-1.2996368,11.235092,7.23703,-0.13734573,2500,20,52,9.411765099,22.84248543,-
Wed Sep 04 12:48:06 GMT+02:00 2019,48:06.4,11.1556633,43.46722563,14.54,7.504,159.960144,113,0.9916229,8.611053,10.593704,-0.029937996,2500,20,52,9.411765099,22.84248543,-
Wed Sep 04 12:48:06 GMT+02:00 2019,48:06.5,11.1556633,43.46722563,14.54,7.504,159.960144,113,2.1911163,3.8154602,5.9226074,-0.22890258,2500,20,52,9.411765099,22.84248543,-
Wed Sep 04 12:48:06 GMT+02:00 2019,48:06.6,11.1556633,43.46722563,14.54,7.504,159.960144,113,4.4775696,2.4531708,15.0421295,0.20979013,2406.75,20,52,9.411765099,22.84248543,-
Wed Sep 04 12:48:06 GMT+02:00 2019,48:06.7,11.1556633,43.46722563,14.54,7.504,159.960144,113,3.9795837,-4.353546,14.398087,0.0913218,2406.75,20,52,9.411765099,22.84248543,-
Wed Sep 04 12:48:06 GMT+02:00 2019,48:06.8,11.1556633,43.46722563,14.54,7.504,159.960144,113,0.3930664,-8.969574,12.135559,0.19094396,2406.75,20,49,9.411765099,22.84248543,-
